supplier,sku,quantity,unit_price,status,order_date,expected_date,notes
Epsilon Industrial,SEAL-2723,4916,51.97,PENDING_APPROVAL,2026-06-27,2026-07-18,Promotional order
Iota Hardware Solutions,TOOL-3226,4146,26.11,PENDING_APPROVAL,2025-08-11,2025-09-08,Urgent requirement
Eta Packaging Co,CABLE-7952,274,214.63,APPROVED,2025-02-13,2025-02-26,Backfill stock
Epsilon Industrial,TOOL-2815,2601,21.92,PENDING_APPROVAL,2025-06-08,2025-07-01,
Eta Packaging Co,LABEL-0431,4329,154.03,PARTIAL,2025-08-21,2025-09-19,Urgent requirement
Epsilon Industrial,SEAL-2561,1599,31.70,ORDERED,2025-10-13,2025-10-27,
Omicron Materials Tech,LIGHT-5604,4578,39.72,PARTIAL,2026-04-03,2026-05-12,
Nu Systems Inc,SCAN-1306,227,16.81,DRAFT,2025-10-02,2025-10-30,
Zeta Fabrication,RACK-5662,534,18.62,PENDING_APPROVAL,2025-12-20,2026-01-26,Quarterly restock
Delta Parts Supply,BATT-3131,164,22.33,PARTIAL,2026-03-08,2026-03-19,
Kappa Machinery Works,CASE-8241,2491,10.45,APPROVED,2026-04-23,2026-05-22,Quarterly restock
Mu Engineering Corp,SCAN-1606,2252,236.20,APPROVED,2026-01-25,2026-02-24,Urgent requirement
Iota Hardware Solutions,PRINT-6243,4730,10.38,PENDING_APPROVAL,2026-04-15,2026-04-22,Quarterly restock
Zeta Fabrication,CABLE-6046,2214,189.29,DRAFT,2025-03-05,2025-04-04,
Mu Engineering Corp,SEAL-2916,2534,38.56,RECEIVED,2026-02-22,2026-03-29,
Omicron Materials Tech,PRINT-8314,264,176.01,CANCELLED,2025-09-29,2025-10-09,
Kappa Machinery Works,PACK-4952,4013,60.70,ORDERED,2025-10-01,2025-10-18,Backfill stock
Xi Industrial Supply,FILTER-3254,1326,10.93,APPROVED,2025-08-19,2025-09-03,
Lambda Tools & Dies,TOOL-4833,1857,25.81,RECEIVED,2025-08-01,2025-09-07,Standard order
