order_id,customer_id,channel,order_date,shipping_address_city,shipping_address_pincode,latitude,longitude,item_sku,item_category,item_quantity,item_weight_kg,item_price,origin_warehouse,carrier,delivery_status,actual_delivery_days,shipping_cost,box_size,pickers_required,pick_time_minutes,demand_date,demand_quantity
ORD-000001,CUST-2824,Amazon,2024-10-08 07:14:00,Bangalore,560095,12.9302,77.6141,SKU-81482,Clothing,5,6.39,1585.91,WH_MUMBAI,blue_dart,Delivered,9.0,115.44,LARGE,1,33,2024-11-07 07:14:00,152
ORD-000002,CUST-1106,Flipkart,2025-03-08 10:17:00,Bangalore,560028,13.0157,77.5737,SKU-22156,Toys,1,5.45,17262.73,WH_BANGALORE,delhivery,Cancelled,,277.39,LARGE,1,40,2025-03-19 10:17:00,434
ORD-000003,CUST-6925,Website,2024-07-15 22:04:00,Delhi,110085,28.5828,77.2089,SKU-20458,Books,1,5.76,22724.63,WH_BANGALORE,blue_dart,In Transit,,190.53,LARGE,3,48,2024-07-12 22:04:00,321
ORD-000004,CUST-3803,Website,2024-09-07 05:29:00,Pune,411035,18.569,73.874,SKU-83000,Books,3,12.66,38822.17,WH_MUMBAI,delhivery,In Transit,,212.56,EXTRA_LARGE,1,41,2024-09-20 05:29:00,118
ORD-000005,CUST-9179,Shopify,2025-04-14 04:16:00,Bangalore,560032,12.9945,77.5939,SKU-86622,Toys,5,6.05,11043.33,WH_MUMBAI,shadowfax,Cancelled,,63.64,LARGE,1,14,2025-04-17 04:16:00,415
ORD-000006,CUST-7916,Website,2024-03-06 12:24:00,Lucknow,226060,26.8529,80.9971,SKU-11504,Clothing,5,11.29,38452.85,WH_BANGALORE,delhivery,Delivered,7.0,95.92,EXTRA_LARGE,3,51,2024-03-15 12:24:00,266
ORD-000007,CUST-3927,Website,2024-04-18 20:19:00,Jaipur,302078,26.8799,75.7674,SKU-31174,Automotive,5,13.79,29986.93,WH_CHENNAI,delhivery,Delivered,6.0,441.79,EXTRA_LARGE,1,8,2024-04-26 20:19:00,459
ORD-000008,CUST-2290,Amazon,2025-05-12 02:48:00,Jaipur,302017,26.8728,75.7775,SKU-82063,Home & Kitchen,3,7.96,30368.64,WH_MUMBAI,shadowfax,Delivered,5.0,211.52,LARGE,2,38,2025-06-02 02:48:00,71
ORD-000009,CUST-5061,Flipkart,2024-03-06 10:01:00,Lucknow,226071,26.823,80.922,SKU-19305,Electronics,2,1.1,1666.54,WH_BANGALORE,delhivery,Delivered,5.0,341.11,SMALL,3,13,2024-04-04 10:01:00,305
ORD-000010,CUST-8744,Flipkart,2025-04-29 13:12:00,Mumbai,400013,19.0959,72.8654,SKU-63883,Groceries,1,10.13,49209.83,WH_DELHI,delhivery,Returned,,369.54,EXTRA_LARGE,1,17,2025-05-04 13:12:00,284
ORD-000011,CUST-8350,Flipkart,2025-03-08 05:17:00,Ahmedabad,380032,23.0574,72.5275,SKU-82132,Clothing,1,9.82,27074.88,WH_DELHI,delhivery,Delivered,3.0,215.08,LARGE,1,60,2025-03-26 05:17:00,472
ORD-000012,CUST-1960,Flipkart,2025-01-23 00:24:00,Hyderabad,500059,17.3585,78.4797,SKU-82845,Groceries,2,2.93,10962.49,WH_DELHI,shadowfax,Delivered,6.0,47.44,MEDIUM,3,59,2025-02-18 00:24:00,90
ORD-000013,CUST-1931,Website,2024-03-23 05:04:00,Lucknow,226009,26.8675,80.9235,SKU-25713,Health,2,8.73,2082.15,WH_DELHI,xpressbees,In Transit,,468.66,LARGE,3,50,2024-04-05 05:04:00,132
ORD-000014,CUST-5351,Shopify,2024-05-14 21:41:00,Hyderabad,500059,17.3616,78.4852,SKU-19508,Electronics,4,9.36,28192.95,WH_DELHI,delhivery,Delivered,9.0,147.3,LARGE,1,20,2024-05-30 21:41:00,155
ORD-000015,CUST-3584,Shopify,2024-11-05 19:51:00,Jaipur,302002,26.9268,75.7855,SKU-96951,Clothing,2,4.04,44496.55,WH_MUMBAI,ecom_express,Delivered,10.0,121.1,MEDIUM,1,48,2024-11-14 19:51:00,268
ORD-000016,CUST-9004,Meesho,2024-02-22 02:40:00,Pune,411036,18.4744,73.8434,SKU-27146,Sports,2,11.14,27628.4,WH_CHENNAI,shadowfax,Delivered,2.0,56.12,EXTRA_LARGE,3,7,2024-03-09 02:40:00,308
ORD-000017,CUST-3426,Shopify,2024-05-10 01:19:00,Kolkata,700006,22.6099,88.331,SKU-42706,Clothing,3,11.72,44218.21,WH_CHENNAI,shadowfax,Delivered,4.0,435.01,EXTRA_LARGE,2,6,2024-05-14 01:19:00,387
ORD-000018,CUST-6442,Shopify,2024-09-11 08:10:00,Mumbai,400049,19.1172,72.9159,SKU-39154,Books,4,5.31,41044.59,WH_MUMBAI,blue_dart,Delivered,4.0,211.26,LARGE,1,54,2024-09-21 08:10:00,189
ORD-000019,CUST-9346,Shopify,2024-12-05 00:07:00,Hyderabad,500023,17.3881,78.5084,SKU-15014,Clothing,5,6.58,36454.13,WH_BANGALORE,xpressbees,Delivered,7.0,451.76,LARGE,2,7,2024-12-25 00:07:00,10
ORD-000020,CUST-9518,Website,2024-07-20 11:27:00,Mumbai,400086,19.1221,72.8923,SKU-96951,Clothing,3,7.66,33377.62,WH_BANGALORE,xpressbees,Delivered,9.0,81.1,LARGE,3,29,2024-07-24 11:27:00,325
ORD-000021,CUST-5930,Shopify,2024-01-01 09:18:00,Chennai,600056,13.1086,80.2807,SKU-52237,Groceries,4,6.69,10762.91,WH_CHENNAI,blue_dart,Delivered,5.0,267.42,LARGE,1,57,2024-01-09 09:18:00,354
ORD-000022,CUST-6085,Flipkart,2024-07-22 04:01:00,Delhi,110032,28.6584,77.2411,SKU-19545,Groceries,4,13.3,28825.55,WH_CHENNAI,xpressbees,Returned,,137.11,EXTRA_LARGE,1,54,2024-08-11 04:01:00,122
ORD-000023,CUST-3881,Website,2025-04-20 01:35:00,Chennai,600016,13.0756,80.3001,SKU-97500,Automotive,5,8.97,47506.93,WH_CHENNAI,shadowfax,Returned,,418.67,LARGE,1,52,2025-05-13 01:35:00,240
ORD-000024,CUST-5246,Flipkart,2024-10-10 16:31:00,Chennai,600036,13.074,80.2914,SKU-40735,Sports,3,4.86,27053.14,WH_MUMBAI,blue_dart,Delivered,7.0,353.1,MEDIUM,1,31,2024-10-29 16:31:00,179
ORD-000025,CUST-9890,Shopify,2025-03-01 01:13:00,Pune,411050,18.5605,73.8684,SKU-12560,Health,4,7.21,47142.75,WH_BANGALORE,xpressbees,Returned,,278.35,LARGE,2,19,2025-03-11 01:13:00,233
ORD-000026,CUST-8956,Amazon,2025-02-02 10:42:00,Pune,411093,18.4865,73.8567,SKU-26728,Health,5,0.5,19761.0,WH_DELHI,delhivery,Returned,,85.14,SMALL,1,8,2025-02-11 10:42:00,204
ORD-000027,CUST-6363,Flipkart,2025-04-10 10:21:00,Pune,411036,18.5452,73.8932,SKU-43065,Clothing,4,0.39,27016.55,WH_BANGALORE,blue_dart,Delivered,1.0,382.03,SMALL,1,58,2025-04-04 10:21:00,328
ORD-000028,CUST-3496,Flipkart,2024-05-09 15:42:00,Mumbai,400073,19.1248,72.8765,SKU-43586,Beauty,2,9.13,48190.33,WH_DELHI,blue_dart,Delivered,2.0,297.77,LARGE,3,48,2024-05-26 15:42:00,213
ORD-000029,CUST-4249,Amazon,2024-09-05 03:44:00,Hyderabad,500088,17.39,78.4221,SKU-84177,Electronics,3,8.04,33109.58,WH_DELHI,shadowfax,In Transit,,26.07,LARGE,2,11,2024-09-25 03:44:00,195
ORD-000030,CUST-8532,Flipkart,2025-03-21 05:46:00,Jaipur,302084,26.887,75.8108,SKU-80539,Groceries,4,6.59,36577.94,WH_BANGALORE,ecom_express,Delivered,2.0,153.89,LARGE,1,53,2025-04-12 05:46:00,301
ORD-000031,CUST-7209,Meesho,2024-01-30 15:54:00,Kolkata,700024,22.5688,88.3455,SKU-43862,Beauty,3,13.22,35088.77,WH_BANGALORE,shadowfax,Delivered,9.0,475.07,EXTRA_LARGE,1,51,2024-02-18 15:54:00,260
