name,email,phone,address,city,state,zip,country
Elite Distributors,elite@oscorp.com,+1-402-599-7623,9475 Lake Dr,San Antonio,CO,14256,US
Apex Industries,apex@oscorp.com,+1-891-691-7726,6729 Lake Dr,Nashville,TX,79149,US
United Corp,united@initech.com,+1-247-827-3074,6527 Main St,Phoenix,GA,42365,US
Allied Enterprises,allied@umbrella.com,+1-935-424-5956,532 Market St,Austin,CO,20303,US
Global Corp,global@stark.com,+1-281-458-4156,4017 Oak Ave,Dallas,GA,16192,US
Superior Corp,superior@hooli.com,+1-546-408-6429,1058 Park Ave,Austin,IL,71205,US
Global Logistics,global@wayne.com,+1-600-695-2925,6880 Market St,Boston,OH,63324,US
Allied Distributors,allied@wayne.com,+1-477-585-8442,4479 Washington Blvd,Philadelphia,GA,71478,US
Superior Corp,superior@cyberdyne.com,+1-233-950-4607,5799 Broadway,San Antonio,MN,20181,US
Superior Corp,superior@oscorp.com,+1-996-270-8105,2485 Hill Rd,Denver,GA,79356,US
First Trading Co,first@cyberdyne.com,+1-201-914-5504,3129 Washington Blvd,Seattle,IL,58752,US
Apex Logistics,apex@massive.com,+1-763-137-8661,6302 Lake Dr,Nashville,NY,94351,US
Superior Distributors,superior@umbrella.com,+1-213-618-3289,9383 Elm St,Chicago,TX,42086,US
Global Supplies,global@acmecorp.com,+1-492-375-7755,443 Washington Blvd,San Antonio,AZ,77388,US
Global Enterprises,global@umbrella.com,+1-478-509-9359,727 Market St,New York,CO,78444,US
United Logistics,united@initech.com,+1-355-913-2531,4534 Elm St,Denver,CA,35459,US
Premier Enterprises,premier@cyberdyne.com,+1-744-759-5551,2897 Elm St,Denver,OH,93440,US
Elite Supplies,elite@massive.com,+1-517-377-9860,9637 Market St,New York,FL,96472,US
Allied Supplies,allied@acmecorp.com,+1-289-733-7704,1703 Oak Ave,Chicago,IL,64273,US
Allied Industries,allied@stark.com,+1-433-940-4551,9761 Lake Dr,Chicago,CA,41660,US
Elite Corp,elite@umbrella.com,+1-756-760-8327,6007 Broadway,New York,GA,65639,US
First Distributors,first@hooli.com,+1-200-629-8421,992 Main St,Austin,AZ,66359,US
Elite Corp,elite@acmecorp.com,+1-624-614-4123,4126 Hill Rd,Seattle,WA,99671,US
Premier Logistics,premier@acmecorp.com,+1-462-953-8312,6390 Market St,Los Angeles,MN,75706,US
Allied Logistics,allied@initech.com,+1-809-573-9961,7378 Lake Dr,Nashville,FL,66605,US
Apex Industries,apex@umbrella.com,+1-778-706-6674,6618 Market St,Philadelphia,AZ,88728,US
Superior Industries,superior@oscorp.com,+1-950-461-3962,2417 Oak Ave,San Diego,TX,14770,US
Elite Industries,elite@umbrella.com,+1-772-156-6418,1969 Washington Blvd,Boston,OH,42096,US
Allied Corp,allied@umbrella.com,+1-984-872-1448,1882 Oak Ave,Atlanta,CA,82205,US
Apex Trading Co,apex@cyberdyne.com,+1-983-296-1261,8823 Park Ave,Portland,GA,91295,US
Allied Enterprises,allied@hooli.com,+1-960-449-2816,1514 River Rd,San Diego,CO,78757,US
Allied Supplies,allied@globex.com,+1-588-687-4751,6949 River Rd,Miami,TN,98989,US
United Trading Co,united@cyberdyne.com,+1-432-239-2933,3993 Broadway,Phoenix,NY,53870,US
Premier Corp,premier@hooli.com,+1-709-354-6659,9134 Oak Ave,Denver,CA,25989,US
First Enterprises,first@wayne.com,+1-864-988-2111,7536 River Rd,Philadelphia,IL,95865,US
Superior Industries,superior@cyberdyne.com,+1-239-572-4883,9025 Broadway,Portland,OR,33830,US
Allied Supplies,allied@initech.com,+1-284-719-9209,2222 Park Ave,New York,NY,74945,US
United Supplies,united@cyberdyne.com,+1-995-271-4338,3003 Hill Rd,Atlanta,PA,59867,US
Apex Logistics,apex@cyberdyne.com,+1-718-776-5659,8048 Washington Blvd,Nashville,WA,22763,US
Premier Industries,premier@acmecorp.com,+1-428-167-7020,7444 Oak Ave,Phoenix,CA,85571,US
