code,name,address,city,state,zip,country,capacity_sqft,manager_name,manager_phone,manager_email
WH-JNVI,Alpha Distribution Hub,7516 Hill Rd,Seattle,CA,83455,US,139581,Manager SPZPQ,+1-676-596-3346,manager@umbrella.com
WH-ZXII,Delta Storage Facility,1349 River Rd,Seattle,IL,25294,US,121245,Manager NDPUF,+1-758-426-4761,manager@umbrella.com
WH-GVWM,Eta Distribution Center,9927 Park Ave,New York,MA,68168,US,39240,Manager UIULN,+1-435-727-5310,manager@cyberdyne.com
WH-PZEK,Epsilon Warehouse,2326 Washington Blvd,Boston,WA,26757,US,114272,Manager HAOEG,+1-648-408-1902,manager@cyberdyne.com
WH-RDVD,Epsilon Warehouse,1603 River Rd,Miami,MA,42716,US,15909,Manager AETKL,+1-974-197-7050,manager@stark.com
WH-CQXL,Theta Logistics Hub,5898 Market St,Seattle,PA,43485,US,126413,Manager FPXWR,+1-956-282-6161,manager@hooli.com
WH-AFLH,Iota Storage,3657 Broadway,Los Angeles,TN,14437,US,89936,Manager BAYRF,+1-780-625-7121,manager@wayne.com
WH-JYUD,Epsilon Warehouse,4216 Elm St,Phoenix,FL,84165,US,111212,Manager PGYIC,+1-940-514-8055,manager@umbrella.com
WH-IKDC,Iota Storage,6306 Lake Dr,Nashville,TN,88797,US,166902,Manager VYJRF,+1-530-749-4891,manager@oscorp.com
WH-DXWW,Delta Storage Facility,7355 Park Ave,Dallas,NY,33165,US,198215,Manager LGVUG,+1-409-723-8678,manager@initech.com
WH-SKCP,Alpha Distribution Hub,2877 Oak Ave,Minneapolis,TX,60909,US,60229,Manager ICVYG,+1-816-671-8837,manager@oscorp.com
WH-SLCI,Delta Storage Facility,5468 Market St,New York,TX,42848,US,79551,Manager MKUZJ,+1-592-985-1133,manager@wayne.com
WH-FJGS,Gamma Logistics Park,184 Elm St,Boston,NY,87464,US,121364,Manager GFSSM,+1-955-145-1278,manager@stark.com
WH-SCXG,Theta Logistics Hub,9924 Oak Ave,San Antonio,WA,96386,US,148735,Manager SCQHH,+1-583-370-7822,manager@acmecorp.com
WH-ZLTD,Eta Distribution Center,9236 Main St,Atlanta,CO,33589,US,173317,Manager GMFWI,+1-906-803-9549,manager@stark.com
