CustomerName,Email,Phone,Price,Quantity,SKU,Description,ShippingStreet,ShippingCity,ShippingState,ShippingZip,OrderNotes
Quantum Distribution,quantum.distribution@fastmail.com,+91-8479472700,5.16,39,CABLE-4271,AA Rechargeable 4pk,"704, Tower Road",Jaipur,RJ,302001,Call before delivery
Eclipse Logistics,eclipse.logistics@rediffmail.com,+91-8289459456,24.65,13,RACK-3678,Plastic Widget XL,"971, Main St",Meerut,UP,250001,Fragile items
Cascade Imports,cascade.imports@fastmail.com,+91-9791232119,6.78,6,GADGET-6571,Mobile Computer PDA,"440, Tower Road",Ludhiana,PB,141001,
Pinnacle Wholesale,pinnacle.wholesale@outlook.com,+91-7046278922,81.78,24,SEAL-7434,Cut Resistant Gloves L,"122, Technology Park",Chennai,TN,600001,Handle with care
Polaris Retail,polaris.retail@nexusmail.com,+91-7426666532,15.98,18,LIGHT-9832,Smart Bulb WiFi,"844, Business Center",Indore,MP,452001,Standard shipping
Astra Corporation,astra.corporation@nexusmail.com,+91-7950944314,5.16,12,AUDIO-7389,Noise Canceling Headphones,"379, Tower Road",Kochi,KL,682001,Rush delivery needed
Titan Trading,titan.trading@zoho.com,+91-9270862108,13.52,1,LIGHT-6284,Tamper Seal 100pk,"754, Tower Road",Chennai,TN,600001,Call before delivery
Pinnacle Wholesale,pinnacle.wholesale@yahoo.com,+91-8543156439,48.20,36,SCAN-9802,Smart Gadget Pro,"6, Business Center",Kolkata,WB,700001,Gift wrap please
Vega Exports,vega.exports@icloud.com,+91-9923683342,13.68,20,GADGET-9511,AA Rechargeable 4pk,"267, Industrial Blvd",Visakhapatnam,AP,530001,Fragile items
Vega Exports,vega.exports@zoho.com,+91-8738066744,11.35,30,CABLE-4267,USB-C Hub 7-in-1,"321, Main St",Srinagar,JK,190001,
PrimeSourcing,primesourcing@zoho.com,+91-9958244500,8.69,48,SCAN-4322,Safety Goggles Anti-Fog,"321, Sector",Faridabad,HR,121001,Leave at front door
Horizon Wholesale,horizon.wholesale@outlook.com,+91-8820896169,21.04,48,PRINT-7209,Smart Gadget Lite,"194, Industrial Blvd",Varanasi,UP,221001,Fragile items
TechStart Inc,techstart.inc@nexusmail.com,+91-8530767203,14.03,3,ELEC-8109,Smart Gadget Pro,"453, Ring Road",Nagpur,MH,440001,
Polaris Retail,polaris.retail@fastmail.com,+91-9840529405,18.44,30,ELEC-5728,Basic Tool Set,"209, College Road",Mysore,KA,570001,
Elite Traders,elite.traders@outlook.com,+91-9919296918,24.28,48,RACK-3480,Pallet Rack 96in,"995, Main St",Surat,GJ,395001,Office hours only
Vega Exports,vega.exports@icloud.com,+91-9218022360,58.97,27,FILTER-0426,Phone Case Silicone,"698, MG Road",Nagpur,MH,440001,Express delivery
InnovateTech,innovatetech@proton.me,+91-7094620625,36.34,38,LABEL-7862,Address Label 100pk,"644, Business Center",Allahabad,UP,211001,Fragile items
Nova Distributors,nova.distributors@gmail.com,+91-8064684600,200.48,3,CABLE-3464,Smart Gadget Lite,"821, MG Road",Srinagar,JK,190001,Express delivery
Elite Traders,elite.traders@rediffmail.com,+91-8249722130,60.18,48,PACK-4181,AA Rechargeable 4pk,"246, Hospital Road",Hyderabad,TS,500001,Office hours only
Phoenix Trade,phoenix.trade@proton.me,+91-8318547347,23.64,2,PRINT-2526,USB-C Hub 7-in-1,"306, Lake View Rd",Chennai,TN,600001,
Vertex Solutions,vertex.solutions@proton.me,+91-7314958163,88.52,44,UNIF-3275,Cut Resistant Gloves L,"457, Bazaar Street",Rajkot,GJ,360001,
Zenith Group,zenith.group@zoho.com,+91-8384558265,89.68,37,SCAN-3054,Tamper Seal 100pk,"646, Sector",Faridabad,HR,121001,
GlobalMart,globalmart@gmail.com,+91-9248630325,8.70,22,GLOVE-8639,Label Printer 4x6,"663, Market Complex",Udaipur,RJ,313001,
GlobalMart,globalmart@company.in,+91-7984329478,26.62,28,CABLE-4922,Noise Canceling Headphones,"536, Sector",Guwahati,AS,781001,Express delivery
Elite Traders,elite.traders@icloud.com,+91-7352676932,61.66,36,SEAL-6767,Power Adapter 100W,"476, MG Road",Hyderabad,TS,500001,Weekend delivery
Astra Corporation,astra.corporation@icloud.com,+91-8649612132,30.33,23,ELEC-7584,AA Rechargeable 4pk,"806, Industrial Blvd",Nashik,MH,422001,
Eclipse Logistics,eclipse.logistics@proton.me,+91-8028786966,5.50,6,LABEL-7372,Mobile Computer PDA,"828, Business Center",Bangalore,KA,560001,Leave at front door
Metro Supplies,metro.supplies@outlook.com,+91-7849798265,25.98,12,ELEC-7108,Utility Cart 300lb,"19, Main St",Bhopal,MP,462001,Office hours only
Zenith Group,zenith.group@yahoo.com,+91-8327496208,199.90,11,SCAN-7975,Tablet Folio Case,"634, College Road",Mumbai,MH,400001,
Nova Distributors,nova.distributors@rediffmail.com,+91-7625224668,23.49,20,WIDGET-3084,Plastic Widget XL,"215, Lake View Rd",Tiruvananthapuram,KL,695001,Rush delivery needed
Atlas Merchants,atlas.merchants@outlook.com,+91-7625521284,301.42,28,CASE-7593,USB-C Cable 3ft,"486, Sector",Agra,UP,282001,Weekend delivery
Acme Corp,acme.corp@yahoo.com,+91-7064368918,26.85,10,RACK-3976,LED Desk Lamp,"302, Tower Road",Surat,GJ,395001,Express delivery
Eclipse Logistics,eclipse.logistics@proton.me,+91-9336666595,28.40,22,SEAL-8122,Pallet Rack 96in,"611, Station Road",Hyderabad,TS,500001,
Omega Brands,omega.brands@company.in,+91-9374490149,12.93,32,GLOVE-3800,Smart Gadget Lite,"541, Main St",Bangalore,KA,560001,Office hours only
Orion Industries,orion.industries@icloud.com,+91-8366872041,59.06,36,ELEC-8107,Mobile Computer PDA,"962, MG Road",Varanasi,UP,221001,
Apex Ventures,apex.ventures@zoho.com,+91-8537655068,79.14,2,LABEL-3803,Warehouse Vest Orange,"225, Tower Road",Coimbatore,TN,641001,Gift wrap please
Cascade Imports,cascade.imports@rediffmail.com,+91-8365998225,15.88,9,PRINT-5903,Nitrile Gloves M 100pk,"819, College Road",Guwahati,AS,781001,Standard shipping
NexGen Logistics,nexgen.logistics@icloud.com,+91-7567836146,25.66,19,BATT-9925,Cut Resistant Gloves L,"104, Hospital Road",Bhopal,MP,462001,Fragile items
Orion Industries,orion.industries@zoho.com,+91-8175644184,25.22,16,PACK-2599,AA Rechargeable 4pk,"848, College Road",Rajkot,GJ,360001,Rush delivery needed
Horizon Wholesale,horizon.wholesale@fastmail.com,+91-7742825818,24.71,5,CART-3672,Cut Resistant Gloves L,"265, Ring Road",Bangalore,KA,560001,Office hours only
Vertex Solutions,vertex.solutions@rediffmail.com,+91-9796477552,349.06,50,SCAN-1707,Smart Gadget Lite,"949, Lake View Rd",Bangalore,KA,560001,Fragile items
Vertex Solutions,vertex.solutions@zoho.com,+91-7333883724,600.43,7,GADGET-8312,Power Adapter 100W,"172, MG Road",Pune,MH,411001,
InnovateTech,innovatetech@nexusmail.com,+91-8657775325,15.82,11,ELEC-2528,Receipt Printer Thermal,"373, Ring Road",Allahabad,UP,211001,
Eclipse Logistics,eclipse.logistics@outlook.com,+91-9519910863,26.87,13,AUDIO-7761,Water Filter Cartridge,"294, Market Complex",Pune,MH,411001,
NexGen Logistics,nexgen.logistics@yahoo.com,+91-7804229871,3.43,24,UNIF-6910,Bluetooth Speaker,"142, Hospital Road",Faridabad,HR,121001,
Orion Industries,orion.industries@proton.me,+91-7097568009,13.17,30,CABLE-0163,Safety Goggles Anti-Fog,"967, Park Ave",Kochi,KL,682001,Call before delivery
GlobalMart,globalmart@rediffmail.com,+91-9487714861,79.73,26,PRINT-2474,Wire Shelving Unit 5-tier,"60, MG Road",Varanasi,UP,221001,Standard shipping
Polaris Retail,polaris.retail@fastmail.com,+91-8814049888,14.53,27,FILTER-5639,Aluminum Widget,"847, Business Center",Meerut,UP,250001,
Horizon Wholesale,horizon.wholesale@fastmail.com,+91-9908481358,12.77,45,SCAN-7245,Shipping Box S,"909, Hospital Road",Lucknow,UP,226001,Gift wrap please
Vertex Solutions,vertex.solutions@proton.me,+91-8277926515,23.14,20,UNIF-8861,Phone Case Silicone,"219, Park Ave",Indore,MP,452001,Call before delivery
Vega Exports,vega.exports@fastmail.com,+91-7076713655,26.02,34,CART-9708,Wireless Charger Pad,"248, College Road",Rajkot,GJ,360001,Fragile items
Helix Suppliers,helix.suppliers@company.in,+91-8222144046,45.92,33,PRINT-8315,Shipping Box S,"127, Main St",Coimbatore,TN,641001,
Helix Suppliers,helix.suppliers@yahoo.com,+91-8110740945,130.94,20,RACK-9267,Label Printer 4x6,"682, Market Complex",Vadodara,GJ,390001,Express delivery
Phoenix Trade,phoenix.trade@icloud.com,+91-9670885073,29.13,23,CABLE-6188,Safety Goggles Anti-Fog,"756, Technology Park",Ludhiana,PB,141001,
InnovateTech,innovatetech@rediffmail.com,+91-8488622843,41.28,38,CABLE-6975,Packing Tape 36yd,"84, Park Ave",Goa,GA,403001,Call before delivery
TechStart Inc,techstart.inc@proton.me,+91-9217878977,24.77,31,PACK-9638,Platform Truck 600lb,"532, Hospital Road",Jaipur,RJ,302001,Call before delivery
Zenith Group,zenith.group@company.in,+91-8604164646,11.98,41,BATT-2365,Warehouse Vest Orange,"131, Lake View Rd",Mysore,KA,570001,
Polaris Retail,polaris.retail@zoho.com,+91-9275637871,24.44,46,LABEL-7756,Smart Gadget Pro,"765, Industrial Blvd",Jaipur,RJ,302001,Handle with care
Omega Brands,omega.brands@rediffmail.com,+91-8873547957,2.43,39,GADGET-8566,USB-C Cable 3ft,"121, Ring Road",Pune,MH,411001,Call before delivery
Elite Traders,elite.traders@rediffmail.com,+91-7465787283,18.10,19,SEAL-0798,Tablet Folio Case,"911, Business Center",Rajkot,GJ,360001,Fragile items
Reliable Retail,reliable.retail@outlook.com,+91-9852215856,45.18,1,SEAL-7884,Wire Shelving Unit 5-tier,"318, Tower Road",Mysore,KA,570001,Handle with care
Delta Commerce,delta.commerce@rediffmail.com,+91-8654093422,88.52,31,LABEL-7372,Thermal Label 4x6 250pk,"153, College Road",Visakhapatnam,AP,530001,Fragile items
Astra Corporation,astra.corporation@rediffmail.com,+91-9949961825,599.63,40,FILTER-8864,Smart Gadget Pro,"982, MG Road",Chennai,TN,600001,Gift wrap please
Horizon Wholesale,horizon.wholesale@zoho.com,+91-7081284972,26.45,42,PRINT-5061,Platform Truck 600lb,"661, Park Ave",Faridabad,HR,121001,
Atlas Merchants,atlas.merchants@fastmail.com,+91-7173284743,600.16,13,UNIF-3104,Nitrile Gloves M 100pk,"515, Bazaar Street",Chennai,TN,600001,
Acme Corp,acme.corp@yahoo.com,+91-7803785963,14.09,12,LABEL-1387,Utility Cart 300lb,"622, Ring Road",Bhubaneswar,OD,751001,Gift wrap please
Zenith Group,zenith.group@icloud.com,+91-8359613153,14.35,32,UNIF-5200,Shipping Box L,"264, Park Ave",Bangalore,KA,560001,Fragile items
InnovateTech,innovatetech@yahoo.com,+91-9517521747,13.57,11,CABLE-5027,Packing Tape 36yd,"695, Industrial Blvd",Bhubaneswar,OD,751001,Leave at front door
TechStart Inc,techstart.inc@icloud.com,+91-8277722942,15.84,12,FILTER-2335,Packing Tape 36yd,"915, Ring Road",Varanasi,UP,221001,Leave at front door
Pinnacle Wholesale,pinnacle.wholesale@proton.me,+91-8920340997,38.95,4,GLOVE-8334,Warehouse Vest Orange,"395, Park Ave",Pune,MH,411001,Office hours only
Pinnacle Wholesale,pinnacle.wholesale@gmail.com,+91-7094763411,349.62,30,PRINT-3830,Plastic Widget XL,"276, Market Complex",Varanasi,UP,221001,Express delivery
Crest Enterprises,crest.enterprises@yahoo.com,+91-7998184481,350.60,49,SEAL-7307,Basic Tool Set,"867, MG Road",Agra,UP,282001,Fragile items
Vega Exports,vega.exports@nexusmail.com,+91-7803380455,201.93,24,SEAL-9096,Thermal Label 4x6 250pk,"43, Main St",Lucknow,UP,226001,
Eclipse Logistics,eclipse.logistics@zoho.com,+91-7895588363,77.99,42,CHARG-6229,Shipping Box S,"863, MG Road",Meerut,UP,250001,Express delivery
Reliable Retail,reliable.retail@icloud.com,+91-8845119166,88.64,19,CASE-1470,Bubble Wrap Roll,"716, Park Ave",Udaipur,RJ,313001,Weekend delivery
Eclipse Logistics,eclipse.logistics@outlook.com,+91-8043099404,25.43,28,FILTER-4283,Thermal Label 4x6 250pk,"280, Technology Park",Faridabad,HR,121001,
Titan Trading,titan.trading@rediffmail.com,+91-7052027527,9.83,14,PRINT-0034,Barcode Scanner USB,"488, Main St",Srinagar,JK,190001,Call before delivery
Horizon Wholesale,horizon.wholesale@gmail.com,+91-8602261483,351.57,27,CART-1330,Receipt Printer Thermal,"667, Park Ave",Nagpur,MH,440001,
Omega Brands,omega.brands@gmail.com,+91-8233388815,44.40,44,PACK-6337,AA Rechargeable 4pk,"860, Hospital Road",Vadodara,GJ,390001,
Vertex Solutions,vertex.solutions@gmail.com,+91-7030639035,8.73,30,WIDGET-4607,Shipping Box S,"197, Park Ave",Pune,MH,411001,Express delivery
Eclipse Logistics,eclipse.logistics@icloud.com,+91-8189414822,58.93,46,CHARG-8075,Barcode Scanner USB,"215, Main St",Rajkot,GJ,360001,Express delivery
Reliable Retail,reliable.retail@proton.me,+91-8808035397,129.99,18,RACK-9880,Wire Shelving Unit 5-tier,"180, Park Ave",Pune,MH,411001,Fragile items
Crest Enterprises,crest.enterprises@outlook.com,+91-7746978561,31.72,9,CHARG-3144,Plastic Widget XL,"994, Station Road",Ahmedabad,GJ,380001,
Titan Trading,titan.trading@fastmail.com,+91-8399594012,351.52,44,PRINT-0850,Air Purifier Filter,"443, College Road",Nashik,MH,422001,Rush delivery needed
Orion Industries,orion.industries@company.in,+91-8694915697,11.86,44,AUDIO-0770,Car Charger 36W,"941, Sector",Pune,MH,411001,Call before delivery
Omega Brands,omega.brands@zoho.com,+91-9883984949,11.77,1,WIDGET-3697,Tamper Seal 100pk,"981, Park Ave",Varanasi,UP,221001,Handle with care
Cascade Imports,cascade.imports@nexusmail.com,+91-9048922678,24.23,11,WIDGET-7864,Tamper Seal 100pk,"828, Main St",Indore,MP,452001,
Crest Enterprises,crest.enterprises@rediffmail.com,+91-9727917134,34.88,16,FILTER-8515,Noise Canceling Headphones,"967, Park Ave",Nashik,MH,422001,Call before delivery
Helix Suppliers,helix.suppliers@icloud.com,+91-7409021211,35.49,49,GADGET-0547,Shipping Box L,"321, Bazaar Street",Vadodara,GJ,390001,Office hours only
Phoenix Trade,phoenix.trade@yahoo.com,+91-9051866602,23.21,4,TOOL-1669,Smart Gadget Lite,"573, Main St",Jaipur,RJ,302001,Office hours only
Elite Traders,elite.traders@proton.me,+91-9833088587,601.00,7,SCAN-0174,Address Label 100pk,"394, Lake View Rd",Tiruvananthapuram,KL,695001,Gift wrap please
Vertex Solutions,vertex.solutions@proton.me,+91-7085169516,201.74,22,UNIF-5378,Pallet Rack 96in,"198, Park Ave",Kolkata,WB,700001,
InnovateTech,innovatetech@gmail.com,+91-9088576702,41.61,38,CHARG-5823,Packing Tape 36yd,"493, Station Road",Ahmedabad,GJ,380001,Fragile items
Nova Distributors,nova.distributors@zoho.com,+91-7418350850,14.18,16,RACK-7141,Warehouse Vest Orange,"983, MG Road",Nagpur,MH,440001,Rush delivery needed
Helix Suppliers,helix.suppliers@rediffmail.com,+91-8538550458,201.09,38,SCAN-5619,Phone Case Silicone,"378, Main St",Rajkot,GJ,360001,Fragile items
Vega Exports,vega.exports@icloud.com,+91-8833217157,150.02,4,SEAL-5634,LED Desk Lamp,"206, MG Road",Lucknow,UP,226001,
Cascade Imports,cascade.imports@nexusmail.com,+91-9267071263,40.66,22,SCAN-5426,Pallet Rack 96in,"580, Ring Road",Ahmedabad,GJ,380001,
Nova Distributors,nova.distributors@company.in,+91-9983615530,78.41,22,GLOVE-3595,Aluminum Widget,"655, Technology Park",Kochi,KL,682001,
Polaris Retail,polaris.retail@nexusmail.com,+91-9517753452,23.95,40,PACK-3364,Bubble Wrap Roll,"189, College Road",Guwahati,AS,781001,
Acme Corp,acme.corp@rediffmail.com,+91-7466648086,3.11,5,LABEL-3186,Label Printer 4x6,"600, Bazaar Street",Mumbai,MH,400001,Handle with care
Helix Suppliers,helix.suppliers@rediffmail.com,+91-7717444340,38.78,2,BATT-5568,Platform Truck 600lb,"252, Industrial Blvd",Bangalore,KA,560001,Fragile items
Reliable Retail,reliable.retail@gmail.com,+91-7449759666,33.07,17,PRINT-1819,Water Filter Cartridge,"959, Technology Park",Nagpur,MH,440001,
Elite Traders,elite.traders@zoho.com,+91-9618291684,7.63,24,SEAL-1072,USB-C Hub 7-in-1,"148, Bazaar Street",Agra,UP,282001,Weekend delivery
Cascade Imports,cascade.imports@outlook.com,+91-8041888584,199.50,13,SEAL-4007,Smart Gadget Pro,"782, Tower Road",Indore,MP,452001,Call before delivery
